"round_number","block_number","sequence_number","block_type","winning_probability","aaron_mood","probability_aaron_show","reward_value","reaction_time","choice","status_of_play","outcome","accumulated_outcomes","age","gender","major","MCQ_Q1","MCQ_Q2","MCQ_Q3","MCQ_Q4","MCQ_Q5","MCQ_Q6","chance_guess","pre_game_strategy","wager","post_game_quiz_q1","post_game_quiz_q2","post_game_quiz_q3","post_game_quiz_q3_other","post_game_quiz_correct","odds_guess_one_reply","odds_guess_one_did_win","odds_guess_two_reply","odds_guess_two_did_win","odds_guess_three_reply","odds_guess_three_did_win","id","treatment","craver","previous_choice","previous_trial_outcome","exposure_time","craver_2","blue_interspersed"
1,1,2,"C",0.2,"Low",1,"High",443,1,1,-0.7,34.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,5,1,3
2,1,2,"C",0.2,"Low",1,"High",502,0,0,0,34.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,5,1,3
3,1,2,"C",0.2,"Low",1,"High",357,0,0,0,34.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
4,1,2,"C",0.2,"Low",1,"High",267,0,0,0,34.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
5,1,2,"C",0.2,"Low",1,"High",324,0,0,0,34.8,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
1,2,2,"C",0.2,"High",0.5,"High",491,1,1,-0.7,34.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
2,2,2,"C",0.2,"High",0.5,"High",540,0,0,0,34.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,5,1,3
3,2,2,"C",0.2,"High",0.5,"High",388,0,0,0,34.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
4,2,2,"C",0.2,"High",0.5,"High",270,0,0,0,34.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
5,2,2,"C",0.2,"High",0.5,"High",381,0,0,0,34.1,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
1,3,2,"S",0.8,"Low",1,"High",436,1,1,1.3,35.4,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,0,0,5,1,3
2,3,2,"S",0.8,"Low",1,"High",404,1,1,-0.7,34.7,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,6,1,3
3,3,2,"S",0.8,"Low",1,"High",379,1,1,1.3,36,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,0,6,1,3
4,3,2,"S",0.8,"Low",1,"High",395,1,1,1.3,37.3,18,"1","2",1,1,1,1,1,1,1,1,0,2,1,12,"",1,2,0,4,1,2,0,1,"control",1,1,1,7,1,3
